point,S2id,type
point_0046,20191011T183311_20191011T183723_T11SNA,high
point_0047,20190530T184921_20190530T185716_T11UMU,high
point_0047,20190902T184919_20190902T185948_T11UMU,high
point_0047,20200524T184921_20200524T185506_T11UMU,high
point_0047,20200616T185921_20200616T190400_T11UMU,high
point_0047,20200728T184919_20200728T184920_T11UNU,high
point_0048,20190424T143759_20190424T144004_T19KEP,high
point_0048,20190524T143759_20190524T144506_T19KEP,high
point_0048,20200119T143659_20200119T144519_T19KEP,high
point_0048,20200309T143729_20200309T144430_T19KEP,high
point_0048,20200607T143729_20200607T144648_T19KEP,high
point_0049,20190418T142049_20190418T143006_T19GCK,high
point_0049,20190925T142039_20190925T143329_T19GCK,high
point_0049,20190930T142041_20190930T142839_T19GCK,high
point_0049,20191224T141729_20191224T142751_T19GCK,high
point_0049,20200128T141651_20200128T142738_T19GCK,high
point_0050,20190421T081611_20190421T083908_T34JEL,high
point_0050,20190526T081609_20190526T084825_T34JEL,high
point_0050,20190620T081611_20190620T084053_T34JEL,high
point_0050,20190819T081611_20190819T084530_T34JEL,high
point_0050,20200227T080859_20200227T082855_T34JEL,high
point_0051,20190220T081951_20190220T083946_T34JCP,high
point_0051,20191006T082819_20191006T084959_T34JCP,high
point_0051,20191018T081941_20191018T084056_T34JCP,high
point_0051,20191205T083229_20191205T085040_T34JCP,high
point_0051,20200215T082021_20200215T084629_T34JCP,high
point_0053,20190619T084601_20190619T091421_T33KWP,high
point_0053,20191017T084941_20191017T091204_T33KWP,high
point_0053,20191231T085259_20191231T090759_T33KWP,high
point_0053,20200229T084809_20200229T091048_T33KWP,high
point_0053,20200320T084639_20200320T090953_T33KWP,high
point_0054,20181214T090351_20181214T092521_T33KTU,high
point_0054,20191010T085901_20191010T091932_T33KTU,high
point_0054,20191114T090129_20191114T092109_T33KTU,high
point_0054,20191209T090351_20191209T091428_T33KTU,high
point_0054,20200711T085559_20200711T092554_T33KTU,high
point_0055,20190319T090019_20190319T091418_T32KRF,high
point_0055,20190428T085559_20190428T091911_T32KRF,high
point_0055,20191010T085901_20191010T091932_T32KRF,high
point_0055,20191224T090259_20191224T091858_T33KTA,high
point_0055,20200207T090131_20200207T091251_T32KRF,high
point_0056,20190303T065809_20190303T070828_T39PTK,high
point_0056,20190313T065649_20190313T071532_T38PRQ,high
point_0056,20190412T065629_20190412T070829_T38PRQ,high
point_0056,20190611T065629_20190611T071030_T39PTK,high
point_0056,20191123T070211_20191123T070212_T39PTK,high
point_0057,20190211T070019_20190211T070941_T39PVM,high
point_0057,20191203T070241_20191203T070846_T39PVM,high
point_0057,20200102T070301_20200102T070259_T39PVM,high
point_0057,20200421T065621_20200421T070940_T39PVM,high
point_0057,20200720T065631_20200720T070944_T39PVM,high
point_0058,20191109T072121_20191109T072121_T38PNS,high
point_0058,20191119T072211_20191119T072207_T38PNS,high
point_0058,20200217T071951_20200217T073412_T38PNS,high
point_0058,20200507T071621_20200507T073242_T38PNS,high
point_0058,20200606T071621_20200606T073226_T38PNS,high
point_0059,20181222T073319_20181222T074542_T37PHP,high
point_0059,20190111T073259_20190111T074419_T37PHP,high
point_0059,20190126T073201_20190126T073159_T37PHP,high
point_0059,20190307T072741_20190307T073745_T37PHP,high
point_0059,20191008T072759_20191008T074520_T37PHP,high
point_0060,20190104T074319_20190104T075257_T37PFR,high
point_0060,20190901T073619_20190901T074433_T37PFR,high
point_0060,20200104T074311_20200104T074313_T37PFR,high
point_0060,20200304T073801_20200304T074955_T37PFR,high
point_0060,20200428T073609_20200428T074848_T37PFR,high
point_0061,20190130T013719_20190130T013944_T52KDA,high
point_0061,20190224T013711_20190224T014309_T52KDA,high
point_0061,20190316T013711_20190316T013709_T52KDA,high
point_0061,20200110T013711_20200110T013707_T52KDA,high
point_0061,20200325T013709_20200325T013923_T52KDA,high
point_0063,20181226T004659_20181226T004702_T53HQE,high
point_0063,20190714T004719_20190714T005309_T53HQE,high
point_0063,20190729T004711_20190729T004711_T53HQE,high
point_0063,20200110T004659_20200110T004700_T53HQE,high
point_0063,20200509T004709_20200509T005258_T53HQE,high
point_0064,20181217T015619_20181217T020219_T51JVH,high
point_0064,20190317T015619_20190317T020354_T51JVH,high
point_0064,20190615T015629_20190615T020446_T51JVH,high
point_0064,20190622T014709_20190622T015123_T51JVH,high
point_0064,20191102T015619_20191102T020403_T51JVH,high
point_0065,20190101T142749_20190101T143756_T19HCA,high
point_0065,20190116T142751_20190116T143701_T19HCA,high
point_0065,20190404T143759_20190404T144906_T19HCA,high
point_0065,20200129T143659_20200129T144449_T19HCA,high
point_0065,20200410T142731_20200410T143742_T19HCA,high
point_0066,20190131T142759_20190131T143600_T19HDE,high
point_0066,20191122T142731_20191122T143647_T19HDE,high
point_0066,20191222T142731_20191222T143742_T19HDE,high
point_0066,20200121T142651_20200121T143638_T19HDE,high
point_0066,20200724T142739_20200724T143750_T19HDE,high
point_0068,20190114T143749_20190114T144656_T19KFR,high
point_0068,20190119T143751_20190119T144606_T19KFR,high
point_0068,20190414T143759_20190414T144503_T19KFR,high
point_0068,20190509T143751_20190509T143840_T19KFR,high
point_0068,20200314T143721_20200314T144454_T19KFR,high
point_0069,20190516T151709_20190516T152114_T18LTM,high
point_0069,20190913T151709_20190913T152341_T18LTM,high
point_0069,20200225T151701_20200225T152133_T18LTM,high
point_0069,20200510T151659_20200510T152614_T18LTM,high
point_0069,20200624T151711_20200624T151850_T18LTM,high
point_0070,20190109T152639_20190109T153112_T17LRJ,high
point_0070,20190218T152639_20190218T153311_T17LRJ,high
point_0070,20190310T152639_20190310T153038_T17LRJ,high
point_0070,20190419T152649_20190419T153011_T17LRJ,high
point_0070,20191105T152639_20191105T152856_T17LRJ,high
point_0071,20190114T152641_20190114T153109_T17LQL,high
point_0071,20190509T152649_20190509T152958_T17LQL,high
point_0071,20190708T152649_20190708T152648_T17LQL,high
point_0071,20200124T152629_20200124T152632_T17LQL,high
point_0071,20200218T152631_20200218T152633_T17LQL,high
point_0072,20190116T151709_20190116T152029_T18LVJ,high
point_0072,20190121T151701_20190121T152511_T18LVJ,high
point_0072,20190317T151659_20190317T151944_T18LVJ,high
point_0072,20190715T151709_20190715T151712_T18LVJ,high
point_0072,20200316T151701_20200316T151812_T18LVJ,high
point_0073,20190118T150721_20190118T151548_T18LXH,high
point_0073,20190202T150719_20190202T150926_T18LXH,high
point_0073,20191124T150721_20191124T151531_T18LXH,high
point_0073,20200128T150709_20200128T150817_T18LXH,high
point_0073,20200512T150731_20200512T150841_T18LXH,high
point_0075,20181213T144721_20181213T144722_T19KDV,high
point_0075,20190102T144731_20190102T144725_T19KDV,high
point_0075,20190112T144731_20190112T144727_T19KDV,high
point_0075,20190201T144731_20190201T145629_T19KDV,high
point_0075,20200226T144721_20200226T145600_T19KDV,high
point_0079,20190120T203751_20190120T203749_T08VMM,high
point_0079,20190624T202849_20190624T203750_T08VMM,high
point_0079,20190706T201851_20190706T202346_T08VMM,high
point_0079,20200630T201851_20200630T202618_T08VMM,high
point_0079,20200725T201849_20200725T202524_T08VMM,high
point_0080,20190803T193911_20190803T194902_T09UWV,high
point_0080,20190828T193909_20190828T193906_T09UWV,high
point_0080,20190902T193901_20190902T194535_T09UWV,high
point_0080,20190927T194159_20190927T194906_T09UWV,high
point_0080,20200728T193911_20200728T194606_T09UWV,high
point_0082,20190526T190921_20190526T191643_T10UDB,high
point_0082,20190603T191919_20190603T192103_T10UDB,high
point_0082,20191013T191341_20191013T191802_T10UDB,high
point_0082,20200707T191909_20200707T192951_T10UDB,high
point_0082,20200724T190919_20200724T191132_T10UDB,high
point_0083,20190630T190919_20190630T191707_T10UEA,high
point_0083,20200515T190909_20200515T191310_T10UEA,high
point_0083,20200520T190921_20200520T191708_T10UEA,high
point_0083,20200619T190921_20200619T191722_T10UEA,high
point_0083,20200714T190919_20200714T191949_T10UEA,high
point_0084,20190722T180929_20190722T181308_T12TXQ,high
point_0084,20190821T180919_20190821T181254_T12TWR,high
point_0084,20200611T180921_20200611T181204_T12TWR,high
point_0084,20200701T180921_20200701T181431_T12TWQ,high
point_0084,20200721T180921_20200721T181627_T12TWR,high
point_0085,20190623T182921_20190623T183717_T11TPJ,high
point_0085,20190822T182921_20190822T183216_T11TPJ,high
point_0085,20190911T182921_20190911T183249_T11TPJ,high
point_0085,20200602T182919_20200602T183556_T11TPJ,high
point_0085,20200707T182921_20200707T183250_T11TPJ,high
point_0086,20190702T180929_20190702T182116_T12TXP,high
point_0086,20190707T180921_20190707T180950_T12TXP,high
point_0086,20200517T180919_20200517T181919_T12TXP,high
point_0086,20200716T180919_20200716T181939_T12TXP,high
point_0086,20200721T180921_20200721T181627_T12TXP,high
point_0087,20190131T182611_20190131T183119_T11SNU,high
point_0087,20190317T182109_20190317T182716_T11SNU,high
point_0087,20190516T181929_20190516T182446_T11SNU,high
point_0087,20190730T181931_20190730T183134_T11SNU,high
point_0087,20200121T182649_20200121T182946_T11SNU,high
point_0088,20190816T104029_20190816T105508_T30QWG,high
point_0088,20190905T104029_20190905T104455_T30QWG,high
point_0088,20190930T104021_20190930T104936_T30QWG,high
point_0088,20200103T104339_20200103T105058_T30QWG,high
point_0088,20200611T103629_20200611T104747_T30QWG,high
point_0091,20190112T084319_20190112T084655_T35QLU,high
point_0091,20190611T083609_20190611T084501_T35QLU,high
point_0091,20190711T083609_20190711T084452_T35QLU,high
point_0091,20190909T083559_20190909T085541_T35QLU,high
point_0091,20191024T084021_20191024T084512_T35QLU,high
point_0092,20181218T070301_20181218T070301_T39QVB,high
point_0092,20190216T065941_20190216T070806_T39QVB,high
point_0092,20190709T070631_20190709T072132_T39QVB,high
point_0092,20200725T065629_20200725T071354_T39QVB,high
point_0092,20200728T070629_20200728T072353_T39QVB,high
point_0093,20190104T065251_20190104T065440_T40SEC,high
point_0093,20190419T064629_20190419T065832_T40SEC,high
point_0093,20190507T065631_20190507T070853_T40SEC,high
point_0093,20191029T070009_20191029T070052_T40SEC,high
point_0093,20191031T065021_20191031T065018_T40SEC,high
point_0094,20190317T142751_20190317T143036_T19KHT,high
point_0094,20190501T142759_20190501T143600_T19KHT,high
point_0094,20191217T142729_20191217T143655_T19KHT,high
point_0094,20191227T142729_20191227T143656_T19KHT,high
point_0094,20200321T142731_20200321T143740_T19KHT,high
point_0096,20181222T142749_20181222T143754_T19KHP,high
point_0096,20190327T142751_20190327T142752_T19KHP,high
point_0096,20200111T142701_20200111T143723_T19KHP,high
point_0096,20200215T142649_20200215T143542_T19KHP,high
point_0096,20200624T142739_20200624T143750_T20KKU,high
point_0097,20181227T142751_20181227T143741_T19JFK,high
point_0097,20190126T142751_20190126T143621_T19JFK,high
point_0097,20190225T142751_20190225T143548_T19JFK,high
point_0097,20191023T142731_20191023T143555_T19JFK,high
point_0097,20200210T142721_20200210T143544_T19JFK,high
point_0098,20190317T142751_20190317T143036_T19HDC,high
point_0098,20190516T142801_20190516T143512_T19HDC,high
point_0098,20191013T142731_20191013T143747_T19HDC,high
point_0098,20191018T142759_20191018T143626_T19HDC,high
point_0098,20191222T142731_20191222T143742_T19HDC,high
point_0099,20190423T142041_20190423T142840_T19GER,high
point_0099,20190503T142041_20190503T142841_T19GER,high
point_0099,20190518T142049_20190518T142951_T19GER,high
point_0099,20190727T142049_20190727T143022_T19GER,high
point_0099,20191124T141729_20191124T142742_T19GER,high
point_0100,20190117T140051_20190117T141300_T19GGM,high
point_0100,20190301T141041_20190301T141747_T19GGM,high
point_0100,20190902T141049_20190902T142421_T19GGM,high
point_0100,20200204T140641_20200204T141733_T19GGM,high
point_0100,20200424T141051_20200424T142022_T19GGM,high
point_0101,20181225T143749_20181225T144653_T19JCK,high
point_0101,20190419T143801_20190419T144453_T19JCK,high
point_0101,20190519T143751_20190519T144709_T19JCK,high
point_0101,20190718T143751_20190718T144610_T19JCK,high
point_0101,20190723T143759_20190723T144506_T19JCK,high
point_0103,20190417T144739_20190417T145615_T19KCA,high
point_0103,20191213T144719_20191213T145722_T19KCA,high
point_0103,20200401T144729_20200401T145602_T19KCA,high
point_0103,20200501T144719_20200501T145601_T19KCA,high
point_0103,20200526T144731_20200526T145503_T19KCA,high
point_0104,20190405T145731_20190405T145751_T18KYG,high
point_0104,20190530T145739_20190530T150418_T18KYG,high
point_0104,20200125T145719_20200125T150550_T18KYG,high
point_0104,20200130T145721_20200130T150612_T18KYG,high
point_0104,20200330T145721_20200330T150217_T18KYG,high
point_0105,20190324T150719_20190324T150915_T18LWH,high
point_0105,20191005T150721_20191005T151109_T18LWH,high
point_0105,20200118T150719_20200118T150837_T18LWH,high
point_0105,20200318T150719_20200318T151445_T18LWH,high
point_0105,20200323T150721_20200323T151606_T18LWH,high
point_0106,20190509T152649_20190509T152958_T18LTN,high
point_0106,20191220T152631_20191220T153056_T18LTN,high
point_0106,20200304T152639_20200304T153356_T18LTN,high
point_0106,20200612T152639_20200612T153318_T18LTN,high
point_0106,20200617T152651_20200617T152645_T18LTN,high
point_0107,20190419T152649_20190419T153011_T17LQK,high
point_0107,20200119T152631_20200119T152633_T17LQK,high
point_0107,20200503T152639_20200503T152846_T17LQK,high
point_0107,20200518T152641_20200518T152644_T17LQK,high
point_0107,20200722T152639_20200722T153455_T17LQK,high
point_0108,20190118T113411_20190118T114016_T28QEL,high
point_0108,20190403T113319_20190403T114028_T28QEL,high
point_0108,20191020T113319_20191020T113845_T28QEL,high
point_0108,20191114T113331_20191114T114025_T28QEL,high
point_0108,20191219T113409_20191219T114018_T28QEL,high
point_0109,20180101T091351_20180101T091755_T34RFU,high
point_0109,20181217T091401_20181217T091355_T34RFU,high
point_0109,20191112T091221_20191112T091330_T34RFV,high
point_0109,20200215T091019_20200215T092112_T34RFV,high
point_0109,20200410T090551_20200410T090900_T34RFU,high
point_0110,20190109T101409_20190109T101406_T32SKB,high
point_0110,20190124T101311_20190124T101314_T32SKA,high
point_0110,20191230T101421_20191230T101423_T32SKA,high
point_0110,20200408T101021_20200408T101923_T32SKB,high
point_0110,20200531T102031_20200531T102434_T32SKB,high
point_0111,20180211T084101_20180211T084934_T35RPN,high
point_0111,20180313T083731_20180313T085057_T35RPN,high
point_0111,20180909T083601_20180909T084921_T35RPN,high
point_0111,20190206T084131_20190206T084639_T35RPN,high
point_0111,20190417T083601_20190417T084844_T35RPN,high
point_0113,20190120T080239_20190120T080536_T37SFT,high
point_0113,20190420T075619_20190420T080031_T37SGT,high
point_0113,20191022T075951_20191022T080822_T37SGT,high
point_0113,20200115T080159_20200115T080530_T37SGT,high
point_0113,20200524T075609_20200524T080955_T37SFT,high
point_0114,20190211T075041_20190211T075528_T38RLU,high
point_0114,20190409T073611_20190409T074435_T38RLV,high
point_0114,20190412T074611_20190412T080028_T38RLV,high
point_0114,20191110T074039_20191110T074716_T38RLV,high
point_0114,20200218T073949_20200218T075102_T38RLU,high
point_0115,20180202T081241_20180202T081331_T37SDT,high
point_0115,20190128T081211_20190128T082008_T37SDT,high
point_0115,20190423T080619_20190423T081724_T37SDT,high
point_0115,20200318T080639_20200318T081023_T37SDT,high
point_0115,20200412T080611_20200412T081101_T37SDT,high
point_0116,20190121T064201_20190121T064159_T40RGP,high
point_0116,20190215T063949_20190215T064934_T40RGP,high
point_0116,20190819T063631_20190819T064620_T40RGP,high
point_0116,20200126T064141_20200126T064135_T40RGP,high
point_0116,20200714T063631_20200714T064824_T40RGP,high
point_0117,20190213T065001_20190213T065850_T40SGA,high
point_0117,20190220T063911_20190220T065010_T40SGA,high
point_0117,20190409T064629_20190409T064856_T40SFA,high
point_0117,20191215T065259_20191215T065257_T40SFA,high
point_0117,20200116T064221_20200116T064216_T40SGA,high
point_0118,20190115T071239_20190115T071732_T40SBD,high
point_0118,20190430T070631_20190430T071501_T39SYU,high
point_0118,20191002T070719_20191002T071445_T39SYU,high
point_0118,20200330T070619_20200330T071921_T40SBD,high
point_0118,20200414T070621_20200414T071116_T39SYU,high
point_0119,20190127T052101_20190127T052059_T44SNJ,high
point_0119,20190318T051651_20190318T052212_T44SPJ,high
point_0119,20190407T051651_20190407T051652_T44SPJ,high
point_0119,20190805T051701_20190805T051655_T44SNJ,high
point_0119,20200421T051651_20200421T052353_T44SNJ,high
point_0120,20190302T045721_20190302T050545_T45TXE,high
point_0120,20190829T045701_20190829T045729_T45TXE,high
point_0120,20191008T045701_20191008T050028_T45TXE,high
point_0120,20191020T044819_20191020T044922_T45TXE,high
point_0120,20191219T045209_20191219T045214_T45TXE,high
point_0121,20190129T042031_20190129T042347_T47TLG,high
point_0121,20190330T041551_20190330T041549_T47TLG,high
point_0121,20190623T041559_20190623T041622_T47TMG,high
point_0121,20200223T041751_20200223T041751_T47TLG,high
point_0121,20200508T041549_20200508T041840_T47TMG,high
point_0122,20190108T040139_20190108T040136_T48TUM,high
point_0122,20190309T035609_20190309T040144_T48TUM,high
point_0122,20190930T035541_20190930T040012_T48TUM,high
point_0122,20191129T040121_20191129T040445_T48TUM,high
point_0122,20200701T035539_20200701T040317_T48TUM,high
point_0123,20190127T034021_20190127T034019_T49TCJ,high
point_0123,20190417T033541_20190417T033835_T49TCJ,high
